HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spndng_Per_Dsg_Unt_2019,Avg_Spndng_Per_Clm_2019,Avg_Spndng_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spndng_Per_Dsg_Unt_2023,Avg_Spndng_Per_Clm_2023,Avg_Spndng_Per_Bene_2023,Outlier_Flag_2023,Avg_DY23_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_22_23,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23
J9271,"Injection, pembrolizumab, 1 mg",Keytruda,Pembrolizumab,2673563659.9,60937815.0,293747,49749,43.873638396,9101.5862628,53741.053286,0,3501098225.1,77275004.6,355708,58703,45.306994716,9842.6187352,59640.873977,0,3966530837.1,85837941.0,373954,62830,46.209529153,10607.00203,63131.160864,0,4935971049.1,94600572.0,407389,67022,52.176968329,12116.11273,73647.027082,0,5433584762.6,100720022.0,431397,71411,53.947414375,12595.323478,76088.904548,0,55.1385,0.0339315622,0.0530324287
J0178,"Injection, aflibercept, 1 mg",Eylea,Aflibercept,2911695143.0,3123794.0,1391408,268386,932.10216263,2092.6249835,10848.908449,0,3013346116.4,3269515.0,1435471,284534,921.64927105,2099.2037571,10590.4606,0,3415890772.0,3758278.0,1635603,309699,908.89784417,2088.4595908,11029.711985,0,3541909703.7,3933700.1,1698624,338615,900.40155926,2085.1640526,10459.990561,0,3148337300.8,3626517.1,1561204,339144,868.14351456,2016.6085283,9283.18738,0,883.94725,-0.035826287,-0.017614367
J0897,"Injection, denosumab, 1 mg",Prolia*,Denosumab*,1605325830.0,91766368.0,1192363,589773,17.493618468,1346.3398562,2721.9384916,0,1627019054.6,88874535.3,1161292,588274,18.306920527,1401.0421622,2765.7504064,0,1780811014.6,92793533.6,1241745,629724,19.191111121,1434.1197385,2827.9230499,0,2003916528.4,93824328.5,1280103,657400,21.358176077,1565.4338193,3048.2454037,0,2190209345.5,94727783.6,1311530,680070,23.121087207,1669.9651137,3220.5645677,0,23.6235,0.0825403407,0.0722156709
J9144,"Injection, daratumumab, 10 mg and hyaluronidase-fihj",Darzalex Faspro,Daratumumab-Hyaluronidase-Fihj,,,,,,,,,,,,,,,,,1046702029.9,23552901.0,121256,12490,44.44047168,8632.166902,83803.204953,0,1576370370.5,34850987.0,182181,17976,45.231728173,8652.7704346,87693.055771,0,2075948084.2,43751624.0,228937,22480,47.448480637,9067.7701035,92346.445026,0,48.35625,0.0490087943,0.0332890456
J9299,"Injection, nivolumab, 1 mg",Opdivo,Nivolumab,1782421165.2,71952347.0,212737,29916,24.772244958,8378.5197931,59580.865263,0,1586651123.8,62075686.0,175305,25355,25.559945061,9050.8035926,62577.44523,0,1573611852.5,60628423.0,173365,25426,25.955018697,9076.8716439,61889.870705,0,1849938540.1,64287344.7,181918,26957,28.776091916,10169.079146,68625.534744,0,1910233910.4,64608748.0,181559,27383,29.56618058,10521.284599,69759.847732,0,30.19875,0.0274564269,0.0452194069
Q4262,"Dual layer impax membrane, per square centimeter","Dual layer impax membrane, per square centimeter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411271026.5,1198110.8,35828,5064,1177.9136174,39390.170438,278687.01155,0,1006.323,,
J2777,"Injection, faricimab-svoa, 0.1 mg",Vabysmo,Faricimab-Svoa,,,,,,,,,,,,,,,,,,,,,,,,,169912032.01,4556170.0,67427,37957,37.292733153,2519.9405581,4476.4347027,0,1296917272.6,35624519.5,510643,112159,36.405186395,2539.7729385,11563.202887,0,37.189,-0.023799456,-0.023799456
J0129,"Injection, abatacept, 10 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",Orencia*,Abatacept*,920283164.38,18335138.0,241967,29035,50.192322762,3803.3416308,31695.648851,0,1023005571.9,19061499.0,251059,29767,53.668684288,4074.7615974,34367.103567,0,988943741.63,20110414.6,265060,31429,49.175701312,3731.0184171,31465.962698,0,903326016.59,20878083.6,276427,31922,43.266711347,3267.8646319,28297.914184,0,902527109.82,21382189.0,283648,32541,42.209294372,3181.8560674,27735.076052,0,43.0575,-0.024439504,-0.042381121
J9022,"Injection, atezolizumab, 10 mg",Tecentriq,Atezolizumab,463609096.18,6509813.0,53255,9954,71.216960638,8705.4566929,46575.155333,0,624194083.89,8710906.0,71233,12416,71.656620321,8762.709473,50273.363715,0,656074898.54,9137003.0,73736,12580,71.804168012,8897.6198674,52152.21769,0,777758574.63,9835802.0,77721,12812,79.07424068,10007.058255,60705.477258,0,755223832.3,9439186.0,74127,11799,80.009423726,10188.242237,64007.444046,0,81.7905,0.0118266459,0.0295309969
J1569,"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg",Gammagard Liquid,Immun Glob G(Igg)/Gly/Iga Ov50,359234157.54,9775563.0,123267,19400,36.748180902,2914.2767938,18517.224615,0,389406039.09,10444674.0,130725,16685,37.282737507,2978.8184287,23338.689787,0,504586233.4,12283366.0,148968,18538,41.078824273,3387.2122429,27219.022192,0,631535232.5,14307736.0,170023,21652,44.139424469,3714.4105944,29167.524132,0,740159848.0,16547904.3,197858,24856,44.728313301,3740.8638923,29777.914709,0,45.636,0.0133415612,0.0503563586
