Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spnd_Per_Dsg_Unt_Wghtd_2023,Avg_Spnd_Per_Clm_2023,Avg_Spnd_Per_Bene_2023,Outlier_Flag_2023,Chg_Avg_Spnd_Per_Dsg_Unt_22_23,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23
Eliquis,Apixaban,1,BMS Primarycare,7304981235.0,980104219.8,12126472,2168489,7.454829703,602.3995466,3368.696468,0,9936069814.0,1258380589.0,14847081,2641941,7.897588745,669.2271574,3760.897694,0,12575145852.0,1478137929.0,17015798,3125087,8.508451102,739.0276878,4023.934646,0,15219812294.0,1669476768.0,18973041,3505142,9.117184679,802.1809627,4342.138576,0,18273451967.0,1875283429.0,21195452,3927848,9.744696713,862.140235,4652.280834,0,0.068827391,0.069258349
Eliquis,Apixaban,1,Overall,7304981235.0,980104219.8,12126472,2168489,7.454829703,602.3995466,3368.696468,0,9936069814.0,1258380589.0,14847081,2641941,7.897588745,669.2271574,3760.897694,0,12575145852.0,1478137929.0,17015798,3125087,8.508451102,739.0276878,4023.934646,0,15219812294.0,1669476768.0,18973041,3505142,9.117184679,802.1809627,4342.138576,0,18273451967.0,1875283429.0,21195452,3927848,9.744696713,862.140235,4652.280834,0,0.068827391,0.069258349
Ozempic,Semaglutide,1,Overall,552401781.4,1476294.0,523508,142494,422.3360457,1055.192626,3876.666957,0,1455812267.0,3813091.786,1204138,269663,433.6662592,1209.007827,5398.635583,0,2621694348.0,6617457.857,2016177,458643,452.7204476,1300.329459,5716.198325,0,4628160643.0,11314543.29,3410839,780253,468.2420458,1356.898008,5931.615314,0,9194048435.0,26990261.4,6927972,1464468,355.9027035,1327.090877,6278.080801,0,-0.239917246,-0.041883577
Ozempic,Semaglutide,1,Novo Nordisk,552401781.4,1476294.0,523508,142494,422.3360457,1055.192626,3876.666957,0,1455812267.0,3813091.786,1204138,269663,433.6662592,1209.007827,5398.635583,0,2621694348.0,6617457.857,2016177,458643,452.7204476,1300.329459,5716.198325,0,4628160643.0,11314543.29,3410839,780253,468.2420458,1356.898008,5931.615314,0,9194048435.0,26990261.4,6927972,1464468,355.9027035,1327.090877,6278.080801,0,-0.239917246,-0.041883577
Jardiance,Empagliflozin,1,Overall,1447618562.0,88255071.5,1812087,421682,16.40381761,798.8681349,3432.962664,0,2376166293.0,136246482.5,2677192,594859,17.44188927,887.5591637,3994.503391,0,3735773560.0,200735048.0,3824726,884516,18.61364858,976.7427942,4223.522876,0,5851720782.0,300042205.4,5653254,1321067,19.50914434,1035.106645,4429.541259,0,8839935063.0,435253096.4,8153238,1882768,20.31796606,1084.223846,4695.180215,0,0.041458596,0.054954733
Jardiance,Empagliflozin,1,Boehringer Ing.,1447618562.0,88255071.5,1812087,421682,16.40381761,798.8681349,3432.962664,0,2376166293.0,136246482.5,2677192,594859,17.44188927,887.5591637,3994.503391,0,3735773560.0,200735048.0,3824726,884516,18.61364858,976.7427942,4223.522876,0,5851720782.0,300042205.4,5653254,1321067,19.50914434,1035.106645,4429.541259,0,8839935063.0,435253096.4,8153238,1882768,20.31796606,1084.223846,4695.180215,0,0.041458596,0.054954733
Trulicity,Dulaglutide,1,Eli Lilly & Co.,2272876284.0,5958854.71,2138442,392939,381.4675414,1062.865527,5784.29803,0,3284873062.0,8198995.5,2823185,497327,400.6823333,1163.53447,6605.056757,0,4702174724.0,10874597.36,3704201,663858,432.4276356,1269.416731,7083.103199,0,6225291668.0,13563197.87,4610823,840163,459.0083713,1350.147613,7409.623689,0,7363856224.0,15240416.42,5316020,938731,483.2052533,1385.219812,7844.479648,0,0.052715557,0.060885502
Trulicity,Dulaglutide,1,Overall,2272876284.0,5958854.71,2138442,392939,381.4675414,1062.865527,5784.29803,0,3284873062.0,8198995.5,2823185,497327,400.6823333,1163.53447,6605.056757,0,4702174724.0,10874597.36,3704201,663858,432.4276356,1269.416731,7083.103199,0,6225291668.0,13563197.87,4610823,840163,459.0083713,1350.147613,7409.623689,0,7363856224.0,15240416.42,5316020,938731,483.2052533,1385.219812,7844.479648,0,0.052715557,0.060885502
Xarelto,Rivaroxaban,1,Overall,4076953903.0,276056994.8,6315952,1134089,14.84525592,645.5010904,3594.915305,0,4701314805.0,307078850.3,6491930,1184718,15.45004937,724.178296,3968.29862,0,5225547772.0,322692140.1,6458283,1258010,16.39885634,809.1233803,4153.820536,0,5772682548.0,340242067.5,6524784,1311333,17.26329804,884.7315939,4402.148461,0,6309246823.0,353267092.7,6654162,1324165,18.22577657,948.1654974,4764.698374,0,0.055752877,0.052627201
Xarelto,Rivaroxaban,1,Janssen Pharm.,4076953903.0,276056994.8,6315952,1134089,14.84525592,645.5010904,3594.915305,0,4701314805.0,307078850.3,6491930,1184718,15.45004937,724.178296,3968.29862,0,5225547772.0,322692140.1,6458283,1258010,16.39885634,809.1233803,4153.820536,0,5772682548.0,340242067.5,6524784,1311333,17.26329804,884.7315939,4402.148461,0,6309246823.0,353267092.7,6654162,1324165,18.22577657,948.1654974,4764.698374,0,0.055752877,0.052627201
