LISTING_ID,ZIP_CODE,NEIGHBORHOOD,PROPERTY_TYPE,BEDROOMS,BATHROOMS,SQFT,LIST_PRICE,SALE_PRICE,PRICE_PER_SQFT,DAYS_ON_MARKET,LIST_DATE,STATUS,AGENT_ID
AUS-00001,78745,South Austin,Single Family,4,3,561,471000,,839.57,30,2024-02-15,Active,AGT-040
AUS-00002,78750,Northwest,Condo,5,2,807,525000,,650.56,36,2024-12-15,Active,AGT-014
AUS-00003,78703,Tarrytown,Single Family,3,2,858,835000,,973.19,26,2024-01-22,Active,AGT-018
AUS-00004,78759,Great Hills,Townhouse,4,2,898,554000,552320,616.93,21,2024-01-27,Sold,AGT-023
AUS-00005,78703,Tarrytown,Townhouse,4,2,1021,1040000,,1018.61,17,2024-01-19,Active,AGT-008
AUS-00006,78701,Downtown,Condo,3,2,705,708000,,1004.26,28,2024-11-12,Active,AGT-001
AUS-00007,78745,South Austin,Single Family,5,2,622,479000,469710,770.1,28,2024-06-30,Sold,AGT-045
AUS-00008,78750,Northwest,Condo,3,1,710,523000,533344,736.62,22,2024-02-19,Sold,AGT-008
AUS-00009,78703,Tarrytown,Single Family,3,1,818,1115000,1114923,1363.08,29,2024-07-04,Sold,AGT-012
AUS-00010,78702,East Austin,Single Family,5,2,608,510000,504981,838.82,21,2024-07-16,Sold,AGT-027
AUS-00011,78731,Northwest Hills,Single Family,5,3,707,550000,,777.93,8,2024-04-25,Active,AGT-042
AUS-00012,78705,UT Area,Condo,4,2,891,450000,,505.05,37,2024-07-15,Active,AGT-019
AUS-00013,78750,Northwest,Townhouse,5,2,760,470000,485311,618.42,29,2024-09-30,Sold,AGT-009
AUS-00014,78705,UT Area,Single Family,3,3,653,352000,,539.05,32,2024-12-13,Active,AGT-039
AUS-00015,78741,Southeast,Condo,5,2,569,313000,,550.09,40,2024-12-06,Active,AGT-043
AUS-00016,78703,Tarrytown,Condo,3,4,860,839000,,975.58,8,2024-06-25,Active,AGT-043
AUS-00017,78745,South Austin,Multi-Family,4,4,886,421000,,475.17,8,2024-08-15,Active,AGT-014
AUS-00018,78705,UT Area,Condo,5,3,629,389000,392728,618.44,16,2024-05-27,Sold,AGT-013
AUS-00019,78701,Downtown,Condo,4,3,1171,650000,674482,555.08,20,2024-10-21,Sold,AGT-019
AUS-00020,78704,South Congress,Single Family,3,2,730,488000,475205,668.49,1,2024-08-16,Sold,AGT-045
AUS-00021,78745,South Austin,Single Family,5,2,400,487000,502185,1217.5,27,2024-10-20,Sold,AGT-041
AUS-00022,78750,Northwest,Single Family,2,2,879,409000,,465.3,4,2024-09-09,Active,AGT-005
AUS-00023,78731,Northwest Hills,Single Family,2,2,792,554000,543431,699.49,19,2024-01-19,Sold,AGT-004
AUS-00024,78731,Northwest Hills,Single Family,5,2,823,465000,,565.01,19,2024-04-27,Active,AGT-013
AUS-00025,78702,East Austin,Single Family,3,3,630,525000,,833.33,38,2024-09-30,Active,AGT-006
AUS-00026,78702,East Austin,Condo,3,2,894,499000,509347,558.17,7,2024-04-28,Sold,AGT-040
AUS-00027,78741,Southeast,Single Family,2,2,663,293000,285686,441.93,41,2024-09-11,Sold,AGT-042
AUS-00028,78759,Great Hills,Single Family,5,2,824,509000,,617.72,19,2024-10-17,Active,AGT-029
AUS-00029,78741,Southeast,Single Family,3,3,693,342000,,493.51,45,2024-01-24,Active,AGT-038
AUS-00030,78745,South Austin,Condo,3,1,507,553000,543517,1090.73,30,2024-09-09,Sold,AGT-028
AUS-00031,78702,East Austin,Multi-Family,3,4,836,530000,,633.97,28,2024-05-18,Active,AGT-040
AUS-00032,78704,South Congress,Single Family,5,2,538,925604.4438296087,918166,1720.45,21,2024-03-30,Sold,AGT-034
AUS-00033,78745,South Austin,Single Family,3,2,813,418000,420192,514.15,33,2024-04-02,Sold,AGT-041
AUS-00034,78705,UT Area,Single Family,4,1,846,485000,,573.29,36,2024-09-14,Active,AGT-026
AUS-00035,78750,Northwest,Single Family,4,2,938,531000,531083,566.1,36,2024-04-16,Sold,AGT-046
AUS-00036,78702,East Austin,Single Family,5,3,996,477000,486088,478.92,24,2024-05-11,Sold,AGT-011
AUS-00037,78759,Great Hills,Single Family,4,3,696,442000,448616,635.06,15,2024-02-07,Sold,AGT-016
AUS-00038,78705,UT Area,Townhouse,3,1,650,361000,364693,555.38,39,2024-06-10,Sold,AGT-013
AUS-00039,78701,Downtown,Single Family,3,2,850,606000,591274,712.94,17,2024-07-18,Sold,AGT-010
AUS-00040,78705,UT Area,Single Family,3,3,661,357000,,540.09,28,2024-02-10,Active,AGT-025
AUS-00041,78701,Downtown,Single Family,4,2,817,704000,685749,861.69,4,2024-02-06,Sold,AGT-042
AUS-00042,78701,Downtown,Condo,3,2,837,543000,,648.75,22,2024-10-12,Active,AGT-025
AUS-00043,78759,Great Hills,Single Family,3,3,876,481000,497559,549.09,23,2024-02-22,Sold,AGT-018
AUS-00044,78705,UT Area,Condo,2,4,568,363000,348970,639.08,25,2024-07-15,Sold,AGT-008
AUS-00045,78701,Downtown,Single Family,3,3,848,783000,,923.35,15,2024-12-21,Active,AGT-035
AUS-00046,78702,East Austin,Condo,3,3,598,581000,570764,971.57,17,2024-02-13,Sold,AGT-045
AUS-00047,78701,Downtown,Condo,2,1,959,660000,,688.22,10,2024-03-03,Active,AGT-021
AUS-00048,78704,South Congress,Townhouse,3,2,804,507000,,630.6,35,2024-03-10,Active,AGT-050
AUS-00049,78705,UT Area,Single Family,4,2,914,389000,376436,425.6,37,2024-05-08,Sold,AGT-047
AUS-00050,78703,Tarrytown,Single Family,3,2,740,823000,794678,1112.16,2,2024-11-02,Sold,AGT-031
AUS-00051,78704,South Congress,Single Family,3,2,889,374000,364556,420.7,27,2024-09-18,Sold,AGT-009
AUS-00052,78759,Great Hills,Single Family,2,2,679,518000,515307,762.89,28,2024-07-23,Sold,AGT-038
AUS-00053,78702,East Austin,Condo,3,2,814,522000,,641.28,26,2024-02-28,Active,AGT-010
AUS-00054,78705,UT Area,Single Family,2,4,729,382000,369440,524.01,25,2024-04-21,Sold,AGT-020
AUS-00055,78745,South Austin,Single Family,3,3,687,434000,428726,631.73,27,2024-10-10,Sold,AGT-044
AUS-00056,78704,South Congress,Multi-Family,4,2,907,550000,559608,606.39,13,2024-10-12,Sold,AGT-012
AUS-00057,78759,Great Hills,Multi-Family,4,2,884,987511.0945228988,990192,1117.09,18,2024-07-04,Sold,AGT-012
AUS-00058,78759,Great Hills,Single Family,4,2,845,433000,,512.43,38,2024-08-04,Active,AGT-013
AUS-00059,78703,Tarrytown,Townhouse,3,2,1154,855000,861301,740.9,5,2024-02-23,Sold,AGT-014
AUS-00060,78731,Northwest Hills,Condo,4,1,881,599000,593750,679.91,24,2024-11-05,Sold,AGT-043
AUS-00061,78705,UT Area,Single Family,4,3,800,388000,,485.0,41,2024-01-14,Active,AGT-036
AUS-00062,78759,Great Hills,Single Family,3,1,1014,475000,466074,468.44,20,2024-06-25,Sold,AGT-002
AUS-00063,78750,Northwest,Single Family,5,4,789,581000,,736.38,19,2024-02-05,Active,AGT-023
AUS-00064,78759,Great Hills,Multi-Family,2,1,1027,672000,684921,654.33,15,2024-04-20,Sold,AGT-047
AUS-00065,78701,Downtown,Single Family,4,2,694,685000,660048,987.03,5,2024-04-04,Sold,AGT-009
AUS-00066,78759,Great Hills,Single Family,4,1,785,931493.5337573251,,1186.62,24,2024-12-17,Active,AGT-016
AUS-00067,78741,Southeast,Condo,2,4,536,382000,393946,712.69,35,2024-06-17,Sold,AGT-037
AUS-00068,78731,Northwest Hills,Single Family,3,2,677,511000,,754.8,18,2024-02-10,Active,AGT-025
AUS-00069,78745,South Austin,Single Family,3,2,688,378000,,549.42,17,2024-03-29,Active,AGT-044
AUS-00070,78701,Downtown,Single Family,3,2,924,736000,727667,796.54,31,2024-03-25,Sold,AGT-001
AUS-00071,78703,Tarrytown,Single Family,4,1,789,788000,777140,998.73,8,2024-09-14,Sold,AGT-026
AUS-00072,78759,Great Hills,Condo,3,4,795,492000,476953,618.87,16,2024-08-04,Sold,AGT-035
AUS-00073,78731,Northwest Hills,Single Family,3,3,750,606000,629681,808.0,21,2024-07-27,Sold,AGT-015
AUS-00074,78731,Northwest Hills,Condo,3,2,1008,583000,577392,578.37,21,2024-06-22,Sold,AGT-033
AUS-00075,78701,Downtown,Multi-Family,4,2,1109,618000,606975,557.26,3,2024-09-03,Sold,AGT-037
AUS-00076,78731,Northwest Hills,Condo,3,3,931,545000,531191,585.39,15,2024-11-01,Sold,AGT-020
AUS-00077,78759,Great Hills,Single Family,3,2,621,534000,,859.9,38,2024-01-06,Active,AGT-025
AUS-00078,78745,South Austin,Single Family,4,2,780,457000,470814,585.9,23,2024-10-03,Sold,AGT-049
AUS-00079,78701,Downtown,Multi-Family,2,4,1051,720000,711125,685.06,31,2024-04-12,Sold,AGT-003
AUS-00080,78704,South Congress,Single Family,3,2,647,497000,477377,768.16,35,2024-07-06,Sold,AGT-023
AUS-00081,78731,Northwest Hills,Townhouse,3,4,801,574000,,716.6,29,2024-07-23,Active,AGT-019
AUS-00082,78731,Northwest Hills,Condo,3,3,1124,497000,,442.17,30,2024-09-10,Active,AGT-001
AUS-00083,78750,Northwest,Condo,3,3,942,508000,,539.28,38,2024-12-26,Active,AGT-001
AUS-00084,78703,Tarrytown,Condo,3,2,1169,754000,743137,645.0,20,2024-03-26,Sold,AGT-039
AUS-00085,78704,South Congress,Single Family,3,2,575,374000,361480,650.43,35,2024-06-13,Sold,AGT-015
AUS-00086,78704,South Congress,Condo,5,2,825,513000,499370,621.82,26,2024-06-09,Sold,AGT-013
AUS-00087,78745,South Austin,Single Family,2,2,681,509000,,747.43,35,2024-01-17,Active,AGT-020
AUS-00088,78731,Northwest Hills,Single Family,3,1,663,534000,523699,805.43,20,2024-05-07,Sold,AGT-017
AUS-00089,78745,South Austin,Single Family,3,2,965,378000,368712,391.71,27,2024-11-11,Sold,AGT-050
