LISTING_ID,ZIP_CODE,NEIGHBORHOOD,PROPERTY_TYPE,BEDROOMS,BATHROOMS,SQFT,LIST_PRICE,SALE_PRICE,PRICE_PER_SQFT,DAYS_ON_MARKET,LIST_DATE,STATUS,AGENT_ID
DEN-00001,80218,Congress Park,Townhouse,4,3,827,605000,635145,731.56,14,2024-07-14,Sold,AGT-014
DEN-00002,80210,University,Single Family,5,4,900,597000,,663.33,18,2024-01-14,Active,AGT-016
DEN-00003,80204,West Colfax,Condo,5,3,963,429000,,445.48,20,2024-04-18,Active,AGT-038
DEN-00004,80218,Congress Park,Single Family,4,2,856,568000,552123,663.55,10,2024-08-03,Sold,AGT-008
DEN-00005,80205,Five Points,Multi-Family,4,2,524,554000,553707,1057.25,17,2024-07-25,Sold,AGT-011
DEN-00006,80203,Capitol Hill,Single Family,4,2,891,572000,558662,641.98,18,2024-01-23,Sold,AGT-028
DEN-00007,80206,Cherry Creek,Single Family,3,2,959,1021000,1070931,1064.65,1,2024-07-04,Sold,AGT-008
DEN-00008,80203,Capitol Hill,Condo,3,2,542,450000,457335,830.26,15,2024-02-09,Sold,AGT-031
DEN-00009,80207,Park Hill,Condo,4,2,925,531000,516434,574.05,19,2024-06-09,Sold,AGT-004
DEN-00010,80220,Montclair,Single Family,3,2,540,525000,511685,972.22,15,2024-03-17,Sold,AGT-017
DEN-00011,80206,Cherry Creek,Single Family,5,3,933,740000,734703,793.14,4,2024-03-26,Sold,AGT-031
DEN-00012,80204,West Colfax,Single Family,2,2,460,420000,420343,913.04,28,2024-09-19,Sold,AGT-041
DEN-00013,80205,Five Points,Condo,4,3,712,596000,597687,837.08,19,2024-01-08,Sold,AGT-002
DEN-00014,80203,Capitol Hill,Single Family,2,3,775,554000,,714.84,8,2024-04-02,Active,AGT-017
DEN-00015,80220,Montclair,Condo,3,4,619,456000,470726,736.67,18,2024-04-15,Sold,AGT-006
DEN-00016,80218,Congress Park,Condo,3,2,1174,518000,,441.23,26,2024-04-01,Active,AGT-043
DEN-00017,80218,Congress Park,Condo,5,2,874,552000,,631.58,13,2024-07-20,Active,AGT-035
DEN-00018,80207,Park Hill,Condo,3,2,783,597000,579630,762.45,6,2024-03-13,Sold,AGT-005
DEN-00019,80202,Downtown,Condo,2,3,834,847000,880270,1015.59,13,2024-02-11,Sold,AGT-017
DEN-00020,80209,Washington Park,Single Family,3,4,1109,1539257.5308498987,1592894,1387.97,10,2024-12-05,Sold,AGT-045
DEN-00021,80204,West Colfax,Condo,3,2,975,484000,485938,496.41,15,2024-05-12,Sold,AGT-023
DEN-00022,80207,Park Hill,Single Family,3,2,949,561000,,591.15,21,2024-04-10,Active,AGT-018
DEN-00023,80204,West Colfax,Condo,4,2,633,403000,,636.65,11,2024-11-20,Active,AGT-026
DEN-00024,80205,Five Points,Single Family,5,3,1089,568000,,521.58,16,2024-11-28,Active,AGT-032
DEN-00025,80206,Cherry Creek,Condo,3,3,1015,985000,1016517,970.44,5,2024-04-30,Sold,AGT-015
DEN-00026,80204,West Colfax,Single Family,3,3,717,376000,368992,524.41,9,2024-04-10,Sold,AGT-024
DEN-00027,80218,Congress Park,Townhouse,4,2,905,581000,565207,641.99,4,2024-11-01,Sold,AGT-020
DEN-00028,80207,Park Hill,Townhouse,3,3,686,468000,,682.22,16,2024-07-05,Active,AGT-021
DEN-00029,80205,Five Points,Townhouse,3,1,936,1054493.2733258954,1074539,1126.6,13,2024-09-30,Sold,AGT-034
DEN-00030,80203,Capitol Hill,Condo,2,4,749,541000,566874,722.3,19,2024-11-20,Sold,AGT-026
DEN-00031,80218,Congress Park,Condo,5,2,825,695000,711791,842.42,13,2024-10-17,Sold,AGT-006
DEN-00032,80218,Congress Park,Single Family,5,4,806,495000,507207,614.14,19,2024-08-24,Sold,AGT-003
DEN-00033,80220,Montclair,Single Family,2,2,631,414000,405084,656.1,24,2024-02-26,Sold,AGT-035
DEN-00034,80204,West Colfax,Single Family,5,2,871,473000,486728,543.05,23,2024-05-22,Sold,AGT-050
DEN-00035,80210,University,Single Family,3,3,899,712000,701452,791.99,11,2024-01-17,Sold,AGT-015
DEN-00036,80206,Cherry Creek,Condo,2,3,1086,1379511.108061068,1421401,1270.27,10,2024-06-16,Sold,AGT-042
DEN-00037,80206,Cherry Creek,Condo,3,3,1091,1038000,1041036,951.42,8,2024-06-22,Sold,AGT-037
DEN-00038,80220,Montclair,Condo,3,4,808,400000,391167,495.05,24,2024-11-28,Sold,AGT-010
DEN-00039,80204,West Colfax,Single Family,4,2,955,438000,,458.64,24,2024-11-03,Active,AGT-011
DEN-00040,80207,Park Hill,Condo,3,2,832,586000,598660,704.33,10,2024-10-22,Sold,AGT-016
DEN-00041,80210,University,Condo,4,2,892,632000,647838,708.52,20,2024-03-10,Sold,AGT-025
DEN-00042,80206,Cherry Creek,Townhouse,3,1,1090,736000,756463,675.23,1,2024-10-17,Sold,AGT-030
DEN-00043,80206,Cherry Creek,Townhouse,4,3,945,736000,756943,778.84,13,2024-11-10,Sold,AGT-047
DEN-00044,80206,Cherry Creek,Single Family,3,2,996,806000,842237,809.24,1,2024-06-08,Sold,AGT-031
DEN-00045,80203,Capitol Hill,Condo,5,2,622,487000,503180,782.96,25,2024-03-04,Sold,AGT-015
DEN-00046,80204,West Colfax,Condo,4,4,574,498000,517565,867.6,19,2024-12-29,Sold,AGT-034
DEN-00047,80206,Cherry Creek,Single Family,3,1,890,1053000,1084252,1183.15,10,2024-08-10,Sold,AGT-003
DEN-00048,80210,University,Condo,3,3,764,503000,,658.38,19,2024-07-13,Active,AGT-034
DEN-00049,80202,Downtown,Single Family,3,2,928,682000,,734.91,20,2024-10-22,Active,AGT-043
DEN-00050,80209,Washington Park,Single Family,3,4,1051,782000,767949,744.05,9,2024-08-24,Sold,AGT-041
DEN-00051,80204,West Colfax,Single Family,4,2,522,378000,396755,724.14,38,2024-03-29,Sold,AGT-012
DEN-00052,80206,Cherry Creek,Townhouse,5,4,978,800000,,818.0,4,2024-02-10,Active,AGT-029
DEN-00053,80220,Montclair,Condo,2,4,903,441000,462129,488.37,12,2024-04-01,Sold,AGT-040
DEN-00054,80210,University,Townhouse,5,2,795,1358003.9331840607,,1708.18,19,2024-06-24,Active,AGT-001
DEN-00055,80220,Montclair,Single Family,2,2,766,456000,,595.3,19,2024-11-10,Active,AGT-046
