order_id,customer_id,order_timestamp,region,channel,category,product_family,sales_rep,quantity,list_price,discount_pct,shipping_days,returned,csat_score,promo_code,gross_revenue,net_revenue,cost,margin,notes
ORD0018712,89809,2024-09-18 10:00:00,West,Mobile,Electronics,Core,James,6,11.09,0.0,1,No,4,NONE,66.54,66.54,51.61,14.93,late late bundle upgrade damaged gift holiday premium
ORD0038319,73972,2024-05-21 06:00:00,South,Web,Groceries,Core,Sophia,8,22.79,0.2,2,No,4,NONE,182.32,145.86,95.57,50.29,gift bundle priority priority premium bundle bundle damaged priority
ORD0006249,70994,2024-07-20 16:00:00,West,Mobile,Beauty,Seasonal,Emma,7,40.6,0.15,1,No,4,NONE,284.2,241.57,131.49,110.08,premium gift gift reorder late reorder holiday late bundle late coupon late
ORD0013771,88516,2024-12-19 04:00:00,Midwest,Marketplace,Electronics,Premium,Lucas,6,29.28,0.05,4,No,5,NONE,175.68,166.9,137.89,29.01,priority upgrade upgrade priority reorder premium
ORD0014439,95397,2024-01-09 03:00:00,West,Mobile,Beauty,Seasonal,Noah,3,24.76,0.15,5,No,5,WELCOME,74.28,63.14,46.11,17.03,coupon damaged upgrade coupon damaged holiday bundle holiday damaged damaged late
ORD0012007,28043,2024-08-03 04:00:00,South,Retail,Toys,Clearance,Emma,2,20.95,0.0,3,Yes,5,BFCM,41.9,41.9,25.01,16.89,late upgrade damaged upgrade premium
ORD0020170,27497,2024-06-23 03:00:00,Northeast,Web,Apparel,Premium,Maya,4,45.53,0.15,4,No,4,NONE,182.12,154.8,122.31,32.49,late gift late bundle reorder reorder priority late upgrade damaged upgrade
ORD0007768,90984,2024-08-20 19:00:00,West,Web,Groceries,Premium,Emma,2,63.28,0.15,7,No,3,NONE,126.56,107.58,85.61,21.97,bundle holiday reorder premium damaged damaged
ORD0013663,20324,2024-02-01 20:00:00,West,Web,Home,Premium,Noah,4,28.52,0.15,4,No,3,NONE,114.08,96.97,58.54,38.43,late damaged reorder upgrade holiday upgrade coupon reorder reorder upgrade
ORD0011151,52168,2024-03-09 19:00:00,West,Web,Beauty,Core,Sophia,2,55.28,0.0,3,No,5,NONE,110.56,110.56,70.91,39.65,coupon holiday damaged reorder priority premium holiday premium bundle
ORD0023148,95025,2024-04-09 19:00:00,Northeast,Mobile,Home,Premium,Ava,6,21.67,0.05,2,No,4,NONE,130.02,123.52,62.22,61.3,premium reorder coupon damaged bundle coupon gift damaged
ORD0017222,13586,2024-08-19 09:00:00,Midwest,Mobile,Home,Clearance,Noah,3,28.06,0.05,3,No,5,NONE,84.18,79.97,39.53,40.44,reorder bundle gift premium damaged priority upgrade priority
ORD0037214,45421,2024-04-27 07:00:00,Midwest,Mobile,Electronics,Core,Maya,6,28.34,0.1,3,No,4,WELCOME,170.04,153.04,104.34,48.7,damaged premium coupon coupon reorder reorder gift
ORD0008090,19195,2024-07-23 23:00:00,Northeast,Mobile,Groceries,Core,Noah,4,40.34,0.2,2,Yes,4,NONE,161.36,129.09,79.83,49.26,gift late premium late holiday damaged reorder reorder
ORD0006835,58561,2024-04-06 16:00:00,South,Web,Beauty,Seasonal,Lucas,3,92.56,0.15,3,No,4,NONE,277.68,236.03,143.56,92.47,damaged coupon late late late gift holiday late gift premium bundle coupon
ORD0010498,85842,2024-09-28 19:00:00,South,Web,Outdoor,Clearance,Ava,4,24.16,0.1,3,No,4,SPRING24,96.64,86.98,45.28,41.7,gift premium late gift late gift damaged priority holiday bundle late holiday
ORD0033197,45360,2024-04-03 16:00:00,West,Web,Groceries,Premium,James,7,28.76,0.0,3,No,4,WELCOME,201.32,201.32,117.03,84.29,holiday premium gift upgrade coupon reorder priority priority bundle
ORD0007041,41025,2024-09-12 01:00:00,Northeast,Marketplace,Home,Core,Emma,3,23.52,0.15,4,No,4,NONE,70.56,59.98,30.95,29.03,coupon premium holiday priority late premium priority priority bundle coupon reorder
ORD0031309,36068,2024-02-16 07:00:00,South,Mobile,Apparel,Premium,Sophia,5,66.29,0.1,3,No,3,SPRING24,331.45,298.3,174.7,123.6,upgrade upgrade premium coupon priority bundle damaged gift late
ORD0016782,85955,2024-01-14 17:00:00,Northeast,Web,Toys,Clearance,James,7,104.07,0.05,4,No,5,NONE,728.49,692.07,463.41,228.66,damaged bundle late damaged late gift gift reorder reorder holiday
ORD0016950,69113,2024-11-11 18:00:00,Midwest,Mobile,Electronics,Premium,Lucas,7,18.94,0.0,3,No,4,NONE,132.58,132.58,109.46,23.12,priority gift bundle late bundle reorder priority
ORD0008117,26177,2024-07-05 22:00:00,West,Web,Outdoor,Premium,Lucas,6,17.27,0.05,2,No,3,NONE,103.62,98.44,72.22,26.22,premium holiday priority upgrade late upgrade upgrade
ORD0033347,29387,2024-07-24 05:00:00,South,Web,Apparel,Clearance,Noah,2,29.1,0.0,6,Yes,3,NONE,58.2,58.2,42.29,15.91,priority upgrade damaged upgrade damaged bundle reorder damaged bundle coupon late reorder
ORD0031801,12916,2024-11-04 13:00:00,Northeast,Mobile,Groceries,Core,Sophia,2,52.73,0.05,2,No,5,NONE,105.46,100.19,78.41,21.78,damaged damaged coupon coupon upgrade priority
ORD0023840,87049,2024-01-01 12:00:00,Midwest,Retail,Beauty,Clearance,Ava,7,26.87,0.15,2,No,4,NONE,188.09,159.88,100.18,59.7,premium bundle priority holiday late premium coupon priority reorder upgrade coupon holiday
ORD0014262,39664,2024-03-07 16:00:00,Northeast,Mobile,Home,Core,Lucas,7,25.39,0.1,3,No,5,NONE,177.73,159.96,86.09,73.87,reorder damaged bundle damaged damaged damaged holiday priority premium premium
ORD0007885,80034,2024-11-20 19:00:00,Midwest,Mobile,Groceries,Seasonal,Noah,8,38.84,0.05,4,No,5,VIP10,310.72,295.18,222.56,72.62,priority gift gift holiday late coupon reorder upgrade priority priority gift gift
ORD0007923,20894,2024-07-04 12:00:00,Midwest,Mobile,Electronics,Core,Sophia,8,10.97,0.2,2,No,4,WELCOME,87.76,70.21,51.9,18.31,coupon holiday upgrade upgrade premium reorder upgrade bundle coupon upgrade
ORD0036606,76610,2024-09-23 12:00:00,South,Mobile,Groceries,Core,Noah,3,14.68,0.2,5,No,4,WELCOME,44.04,35.23,25.41,9.82,bundle holiday reorder upgrade reorder premium coupon priority
ORD0022716,80501,2024-01-18 22:00:00,South,Marketplace,Toys,Clearance,Lucas,4,40.58,0.0,5,No,4,NONE,162.32,162.32,79.64,82.68,holiday upgrade premium coupon premium priority gift late bundle late upgrade
ORD0039008,71546,2024-09-14 10:00:00,South,Web,Beauty,Core,Lucas,4,39.26,0.0,3,No,4,SPRING24,157.04,157.04,88.43,68.61,holiday damaged reorder upgrade late damaged damaged priority reorder bundle damaged
ORD0007910,26290,2024-02-21 14:00:00,West,Mobile,Beauty,Premium,Sophia,5,29.69,0.0,2,No,2,NONE,148.45,148.45,101.8,46.65,holiday bundle upgrade damaged bundle coupon
ORD0015892,84155,2024-08-14 12:00:00,Northeast,Mobile,Groceries,Core,Emma,6,92.17,0.0,5,No,4,BFCM,553.02,553.02,308.45,244.57,premium gift coupon damaged gift bundle upgrade bundle priority
ORD0028193,39962,2024-02-23 16:00:00,West,Mobile,Electronics,Core,Lucas,6,43.63,0.2,4,No,3,NONE,261.78,209.42,110.62,98.8,coupon upgrade gift upgrade gift coupon gift
ORD0030303,10769,2024-05-20 17:00:00,Northeast,Web,Beauty,Core,Lucas,8,28.65,0.2,4,No,5,SPRING24,229.2,183.36,108.78,74.58,damaged premium holiday late reorder premium reorder holiday gift premium gift
ORD0019311,31404,2024-06-14 22:00:00,Northeast,Web,Groceries,Core,Lucas,2,52.2,0.0,4,No,4,WELCOME,104.4,104.4,75.57,28.83,reorder late coupon bundle gift late gift holiday damaged reorder upgrade holiday
ORD0035469,78796,2024-02-18 14:00:00,Midwest,Marketplace,Electronics,Clearance,Maya,1,82.5,0.05,5,No,5,SPRING24,82.5,78.38,45.44,32.94,priority upgrade damaged premium damaged gift reorder coupon bundle premium
ORD0014539,16999,2024-01-06 05:00:00,West,Mobile,Outdoor,Core,Liam,2,38.61,0.0,5,No,3,NONE,77.22,77.22,50.88,26.34,gift priority holiday damaged late coupon late coupon holiday upgrade upgrade
ORD0006922,54453,2024-12-22 18:00:00,West,Retail,Outdoor,Core,Emma,3,65.04,0.2,3,Yes,4,NONE,195.12,156.1,129.23,26.87,premium bundle gift late late priority holiday reorder holiday reorder
ORD0015205,79255,2024-10-02 00:00:00,South,Retail,Beauty,Core,Maya,3,30.01,0.2,4,No,3,WELCOME,90.03,72.02,43.62,28.4,damaged damaged damaged reorder upgrade upgrade gift upgrade gift
ORD0033383,94569,2024-08-29 00:00:00,Northeast,Marketplace,Toys,Seasonal,Liam,1,41.68,0.0,3,Yes,4,WELCOME,41.68,41.68,25.46,16.22,damaged holiday coupon upgrade priority
ORD0029721,17133,2024-11-04 04:00:00,South,Retail,Toys,Seasonal,Noah,1,69.71,0.0,2,No,4,BFCM,69.71,69.71,49.13,20.58,coupon reorder upgrade bundle gift bundle bundle coupon holiday upgrade
ORD0039144,44090,2024-02-18 01:00:00,South,Web,Apparel,Seasonal,Ava,6,16.96,0.1,3,No,5,NONE,101.76,91.58,74.25,17.33,coupon priority coupon holiday reorder
ORD0006540,40001,2024-11-24 12:00:00,Midwest,Web,Groceries,Clearance,Maya,2,35.21,0.2,2,Yes,4,NONE,70.42,56.34,41.92,14.42,gift late premium premium priority priority premium bundle gift gift reorder upgrade
ORD0029218,85818,2024-07-01 15:00:00,South,Marketplace,Toys,Seasonal,James,7,21.07,0.0,4,Yes,5,NONE,147.49,147.49,101.66,45.83,premium upgrade coupon premium upgrade upgrade damaged late holiday damaged coupon
ORD0031165,73678,2024-04-17 03:00:00,South,Retail,Electronics,Seasonal,Ava,4,18.56,0.05,2,No,3,NONE,74.24,70.53,42.71,27.82,bundle gift upgrade holiday gift coupon premium damaged gift holiday upgrade late
ORD0008058,87358,2024-08-28 05:00:00,West,Mobile,Outdoor,Core,James,7,41.84,0.05,4,No,4,NONE,292.88,278.24,148.16,130.08,priority reorder holiday priority damaged priority premium coupon upgrade
ORD0024582,99691,2024-08-25 13:00:00,South,Retail,Electronics,Core,Noah,3,58.6,0.05,4,No,1,WELCOME,175.8,167.01,128.32,38.69,late late damaged bundle holiday holiday
ORD0021558,85070,2024-01-28 20:00:00,South,Marketplace,Beauty,Clearance,Emma,1,46.84,0.2,4,No,4,BFCM,46.84,37.47,17.77,19.7,holiday reorder gift gift bundle late premium coupon
ORD0039210,55929,2024-09-19 06:00:00,Northeast,Web,Beauty,Premium,Sophia,1,39.42,0.0,3,Yes,1,NONE,39.42,39.42,21.64,17.78,premium gift priority premium reorder upgrade late upgrade
ORD0020201,58951,2024-05-04 12:00:00,West,Retail,Apparel,Premium,Emma,2,67.35,0.05,4,Yes,4,NONE,134.7,127.96,73.27,54.69,late priority coupon holiday damaged premium
ORD0030214,81288,2024-08-15 11:00:00,Northeast,Web,Toys,Core,Liam,5,15.99,0.0,5,No,4,VIP10,79.95,79.95,64.44,15.51,coupon gift damaged bundle holiday damaged coupon bundle premium
ORD0015374,68832,2024-12-02 01:00:00,West,Web,Beauty,Core,Lucas,4,42.26,0.15,3,No,5,NONE,169.04,143.68,74.22,69.46,bundle upgrade gift bundle holiday holiday damaged coupon gift damaged late upgrade
ORD0016395,85252,2024-07-21 00:00:00,West,Mobile,Toys,Clearance,Emma,2,17.68,0.0,4,No,4,SPRING24,35.36,35.36,26.36,9.0,late late holiday premium damaged premium holiday
ORD0018033,37785,2024-04-16 03:00:00,Northeast,Marketplace,Apparel,Seasonal,Maya,5,22.54,0.1,6,No,4,NONE,112.7,101.43,51.99,49.44,priority upgrade premium premium late bundle upgrade
ORD0023220,22884,2024-09-29 07:00:00,South,Web,Electronics,Clearance,Liam,6,29.63,0.05,1,No,5,NONE,177.78,168.89,118.23,50.66,coupon priority reorder coupon reorder reorder bundle premium premium holiday holiday
ORD0030354,53245,2024-03-24 04:00:00,South,Web,Beauty,Clearance,Emma,7,40.21,0.0,2,No,4,VIP10,281.47,281.47,210.9,70.57,upgrade bundle bundle upgrade priority upgrade premium damaged upgrade late
ORD0035838,49078,2024-07-18 11:00:00,Northeast,Marketplace,Electronics,Core,Emma,7,22.63,0.0,4,No,4,WELCOME,158.41,158.41,91.11,67.3,priority damaged premium reorder reorder late premium
ORD0029816,46028,2024-12-15 03:00:00,Midwest,Web,Apparel,Seasonal,James,3,43.94,0.05,7,No,5,NONE,131.82,125.23,79.54,45.69,upgrade reorder premium damaged coupon priority gift premium gift premium
ORD0021754,37797,2024-07-26 13:00:00,South,Web,Home,Premium,Emma,4,38.44,0.05,4,No,5,NONE,153.76,146.07,120.42,25.65,reorder reorder late coupon upgrade damaged bundle bundle
ORD0014548,52327,2024-11-28 03:00:00,South,Retail,Home,Seasonal,Maya,4,28.68,0.0,7,No,4,SPRING24,114.72,114.72,74.64,40.08,bundle premium gift priority holiday coupon
ORD0036042,74826,2024-06-16 11:00:00,South,Web,Apparel,Seasonal,Liam,1,23.18,0.1,6,No,4,NONE,23.18,20.86,12.92,7.94,coupon priority reorder late reorder gift premium holiday priority coupon
ORD0037467,66894,2024-09-03 04:00:00,West,Mobile,Beauty,Premium,Maya,2,25.52,0.05,3,No,5,WELCOME,51.04,48.49,39.65,8.84,premium priority priority gift damaged bundle gift late gift bundle reorder
ORD0014424,13423,2024-03-20 18:00:00,Northeast,Marketplace,Toys,Premium,Liam,5,39.09,0.2,5,No,4,NONE,195.45,156.36,76.39,79.97,damaged gift late coupon bundle priority
ORD0019269,77973,2024-04-26 10:00:00,West,Web,Home,Core,Lucas,6,15.49,0.2,3,No,5,NONE,92.94,74.35,38.32,36.03,premium holiday coupon upgrade reorder late bundle priority
ORD0015423,94860,2024-08-11 05:00:00,Midwest,Marketplace,Apparel,Core,Ava,5,39.49,0.0,2,Yes,4,WELCOME,197.45,197.45,153.96,43.49,holiday premium late holiday late premium
