account_id,plan_tier,industry,segment,region,customer_success_manager,signup_date,last_login_date,licensed_seats,active_users,support_tickets_90d,nps,renewal_month,payment_status,feature_adoption_rate,annual_recurring_revenue,seat_utilization,churn_risk,expansion_opportunity,notes
ACC0019902,Starter,Education,SMB,APAC,Priya,2022-08-09 00:00:00,2023-03-27 00:00:00,476,138,3,69,7,Current,0.161,1073.0,0.29,High,No,training training integration seat-expansion seat-expansion integration
ACC0023350,Starter,Education,Mid-Market,EMEA,Priya,2022-03-01 00:00:00,2022-10-22 00:00:00,241,103,1,76,11,Current,0.969,7537.0,0.427,Low,Yes,security invoice pilot training procurement risk procurement invoice training risk security risk
ACC0010184,Pro,Healthcare,SMB,APAC,Elena,2023-05-07 00:00:00,2023-12-26 00:00:00,307,33,3,32,1,Current,0.409,2493.0,0.107,Low,No,seat-expansion renewal risk integration invoice security pilot
ACC0037148,Starter,Finance,Mid-Market,North America,Hannah,2023-09-09 00:00:00,2024-08-06 00:00:00,266,30,5,-44,2,Late,0.202,821.0,0.113,Medium,No,security pilot security risk security invoice training pilot renewal
ACC0031720,Starter,Retail,Mid-Market,EMEA,Hannah,2022-04-28 00:00:00,2023-02-17 00:00:00,235,373,5,7,1,Current,0.775,841.0,1.0,Low,No,renewal integration integration risk seat-expansion risk invoice seat-expansion integration seat-expansion training training
ACC0021547,Growth,Retail,Enterprise,APAC,Grace,2022-10-21 00:00:00,2022-12-20 00:00:00,185,96,5,30,7,Escalated,0.929,6970.0,0.519,Medium,Yes,training renewal seat-expansion seat-expansion seat-expansion invoice risk security security
ACC0018279,Starter,Media,Enterprise,North America,Elena,2024-01-15 00:00:00,2024-09-08 00:00:00,290,278,4,68,12,Current,0.575,4468.0,0.959,Low,No,training training procurement integration training training
ACC0019034,Starter,Manufacturing,Mid-Market,North America,Elena,2024-05-20 00:00:00,2025-02-01 00:00:00,275,83,2,39,8,Current,0.209,894.0,0.302,Medium,No,invoice seat-expansion training security pilot risk seat-expansion pilot seat-expansion integration security
ACC0016636,Starter,Manufacturing,SMB,APAC,Grace,2023-07-15 00:00:00,2024-05-09 00:00:00,241,284,2,-4,4,Current,0.397,681.0,1.0,High,No,integration procurement risk pilot integration security
ACC0007598,Starter,Retail,Enterprise,North America,Priya,2023-01-28 00:00:00,2023-07-29 00:00:00,459,304,6,-7,12,Current,0.864,10147.0,0.662,High,No,invoice pilot invoice invoice pilot
ACC0022538,Pro,Healthcare,SMB,APAC,Elena,2023-07-22 00:00:00,2023-07-29 00:00:00,40,166,1,47,3,Current,0.572,1801.0,1.0,Low,No,seat-expansion invoice security procurement seat-expansion pilot
ACC0023892,Growth,Healthcare,SMB,EMEA,Diego,2024-01-27 00:00:00,2024-04-14 00:00:00,465,333,2,66,1,Current,0.174,2970.0,0.716,High,No,pilot seat-expansion pilot pilot security risk risk pilot renewal training invoice pilot
ACC0037507,Growth,Education,SMB,North America,Elena,2022-03-21 00:00:00,2022-05-31 00:00:00,478,340,3,-35,6,Current,0.391,1662.0,0.711,Medium,No,seat-expansion risk invoice renewal seat-expansion pilot seat-expansion security seat-expansion security training
ACC0013138,Enterprise,Manufacturing,SMB,APAC,Grace,2023-07-27 00:00:00,2024-01-28 00:00:00,236,111,4,86,3,Current,0.102,1399.0,0.47,High,No,training invoice security integration security seat-expansion training seat-expansion integration invoice integration integration
ACC0022053,Pro,Retail,SMB,North America,Grace,2024-01-03 00:00:00,2024-05-15 00:00:00,264,42,3,8,8,Current,0.499,1612.0,0.159,Low,No,training integration pilot invoice security pilot risk integration risk invoice
ACC0034363,Starter,Finance,Mid-Market,North America,Priya,2023-09-19 00:00:00,2024-08-15 00:00:00,494,369,4,99,3,Late,0.889,1689.0,0.747,Medium,Yes,procurement security invoice invoice integration integration risk pilot integration
ACC0017254,Starter,Healthcare,SMB,North America,Marcus,2022-11-18 00:00:00,2023-04-14 00:00:00,468,349,1,-12,4,Current,0.873,853.0,0.746,Medium,No,security pilot risk security procurement
ACC0032968,Starter,Healthcare,SMB,EMEA,Elena,2022-10-21 00:00:00,2023-01-05 00:00:00,450,256,2,23,2,Late,0.197,2290.0,0.569,High,No,training seat-expansion procurement integration procurement integration procurement seat-expansion integration integration pilot pilot
ACC0022593,Starter,Education,Mid-Market,EMEA,Marcus,2022-04-11 00:00:00,2022-08-09 00:00:00,36,196,6,45,4,Current,0.652,1954.0,1.0,Low,Yes,invoice procurement procurement pilot training invoice
ACC0012704,Growth,Education,SMB,North America,Diego,2023-02-21 00:00:00,2024-02-16 00:00:00,185,266,2,70,8,Current,0.821,11904.0,1.0,Low,Yes,invoice pilot invoice pilot security pilot training renewal integration procurement integration
ACC0028812,Enterprise,Finance,SMB,APAC,Hannah,2023-02-26 00:00:00,2023-10-08 00:00:00,200,151,3,4,1,Current,0.769,756.0,0.755,Low,No,integration risk invoice seat-expansion seat-expansion
ACC0022675,Pro,Finance,SMB,North America,Grace,2023-08-01 00:00:00,2024-07-15 00:00:00,79,82,3,38,1,Current,0.936,5964.0,1.0,Low,Yes,renewal invoice risk seat-expansion seat-expansion procurement training
ACC0018025,Growth,Media,SMB,North America,Grace,2024-06-06 00:00:00,2025-02-13 00:00:00,245,60,1,93,4,Current,0.079,766.0,0.245,Medium,No,renewal training pilot integration security integration invoice pilot security pilot pilot invoice
ACC0012204,Growth,Finance,Mid-Market,LATAM,Marcus,2022-07-23 00:00:00,2023-04-28 00:00:00,58,273,4,-21,12,Current,0.728,7285.0,1.0,Medium,No,integration procurement integration procurement risk integration security security security seat-expansion training procurement
ACC0018717,Growth,Retail,Enterprise,EMEA,Hannah,2022-01-17 00:00:00,2022-03-26 00:00:00,127,355,3,7,11,Current,0.592,3724.0,1.0,Low,No,integration pilot procurement pilot invoice integration invoice integration
ACC0006668,Pro,Manufacturing,SMB,North America,Diego,2024-04-15 00:00:00,2024-08-08 00:00:00,319,97,3,2,10,Current,0.146,2177.0,0.304,Medium,No,seat-expansion training renewal pilot invoice renewal risk training pilot risk pilot
ACC0006870,Starter,Finance,Enterprise,APAC,Hannah,2022-05-08 00:00:00,2022-10-25 00:00:00,372,194,2,83,7,Current,0.352,3316.0,0.522,Low,No,invoice risk seat-expansion invoice risk renewal security seat-expansion risk security training
ACC0007866,Growth,Education,Mid-Market,North America,Diego,2022-02-10 00:00:00,2022-03-14 00:00:00,3,11,3,-48,8,Current,0.664,4840.0,1.0,High,No,risk procurement risk security pilot seat-expansion
ACC0011750,Starter,Media,SMB,North America,Priya,2023-10-31 00:00:00,2023-11-09 00:00:00,330,372,1,6,6,Current,0.735,5000.0,1.0,Low,No,security procurement security integration integration seat-expansion procurement integration integration procurement procurement
ACC0006223,Starter,Manufacturing,Mid-Market,North America,Elena,2022-02-16 00:00:00,2022-04-08 00:00:00,136,317,5,-14,5,Current,0.544,1224.0,1.0,Medium,No,seat-expansion seat-expansion renewal training integration
ACC0032879,Enterprise,Manufacturing,Mid-Market,North America,Diego,2023-05-12 00:00:00,2023-12-10 00:00:00,262,49,1,29,7,Current,0.679,2258.0,0.187,Low,No,seat-expansion security pilot training procurement risk training training seat-expansion procurement integration renewal
ACC0033961,Growth,Manufacturing,Mid-Market,APAC,Priya,2023-07-14 00:00:00,2024-01-13 00:00:00,285,110,3,13,6,Current,0.426,12008.0,0.386,Low,No,pilot renewal seat-expansion integration seat-expansion training integration risk pilot integration procurement seat-expansion
